(?, 7, 7, 64) (?, 4, 4, 128)
Extracting data from yann.lecun.com/exdb/mnist/
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Data extracted
step 0, training accuracy 0
step 183000, training accuracy 0.9
step 184000, training accuracy 0.96
step 185000, training accuracy 0.92
step 186000, training accuracy 0.9
step 187000, training accuracy 0.88
step 188000, training accuracy 0.94
step 189000, training accuracy 0.94
step 190000, training accuracy 0.96
Total accuracy: 0.909170604541
step 191000, training accuracy 0.92
step 192000, training accuracy 0.92
step 193000, training accuracy 0.96
step 194000, training accuracy 0.96
step 195000, training accuracy 0.96
step 196000, training accuracy 0.92
step 197000, training accuracy 0.92
step 198000, training accuracy 0.96
step 199000, training accuracy 0.96
step 200000, training accuracy 0.88
Total accuracy: 0.908147827514
step 201000, training accuracy 0.92
step 202000, training accuracy 0.92
step 203000, training accuracy 0.94
step 204000, training accuracy 0.94
step 205000, training accuracy 0.9
step 206000, training accuracy 0.92
step 207000, training accuracy 0.96
step 208000, training accuracy 0.92
step 209000, training accuracy 0.82
step 210000, training accuracy 0.94
Total accuracy: 0.907864201361
step 211000, training accuracy 0.88
step 212000, training accuracy 0.94
step 213000, training accuracy 0.9
step 214000, training accuracy 0.88
step 215000, training accuracy 0.94
step 216000, training accuracy 0.98
step 217000, training accuracy 0.94
step 218000, training accuracy 0.86
step 219000, training accuracy 0.92
step 220000, training accuracy 0.98
Total accuracy: 0.9088096237
step 221000, training accuracy 0.94
step 222000, training accuracy 0.96
step 223000, training accuracy 0.86
step 224000, training accuracy 0.96
step 225000, training accuracy 0.9
step 226000, training accuracy 0.98
step 227000, training accuracy 0.94
step 228000, training accuracy 0.96
step 229000, training accuracy 0.92
step 230000, training accuracy 0.94
Total accuracy: 0.907649330843
step 231000, training accuracy 0.92
step 232000, training accuracy 1
step 233000, training accuracy 0.9
step 234000, training accuracy 0.96
step 235000, training accuracy 0.96
step 236000, training accuracy 0.94
step 237000, training accuracy 0.92
step 238000, training accuracy 0.92
step 239000, training accuracy 0.94
step 240000, training accuracy 0.86
Total accuracy: 0.907958743754
step 241000, training accuracy 0.96
step 242000, training accuracy 0.96
step 243000, training accuracy 0.92
step 244000, training accuracy 0.94
step 245000, training accuracy 0.96
step 246000, training accuracy 0.88
step 247000, training accuracy 0.94
step 248000, training accuracy 0.96
step 249000, training accuracy 0.9
step 250000, training accuracy 0.96
Total accuracy: 0.908775244294
step 251000, training accuracy 0.94
step 252000, training accuracy 0.9
step 253000, training accuracy 0.94
step 254000, training accuracy 0.96
step 255000, training accuracy 0.96
step 256000, training accuracy 0.92
step 257000, training accuracy 0.94
step 258000, training accuracy 0.94
step 259000, training accuracy 0.92
step 260000, training accuracy 0.92
Total accuracy: 0.908147826618
step 261000, training accuracy 0.98
step 262000, training accuracy 0.92
step 263000, training accuracy 0.94
step 264000, training accuracy 0.92
step 265000, training accuracy 0.96
step 266000, training accuracy 0.9
step 267000, training accuracy 0.9
step 268000, training accuracy 0.9
step 269000, training accuracy 0.98
step 270000, training accuracy 0.9
Total accuracy: 0.908465833919
step 271000, training accuracy 0.96
step 272000, training accuracy 0.94
step 273000, training accuracy 0.96
step 274000, training accuracy 0.92
step 275000, training accuracy 0.9
step 276000, training accuracy 0.86
step 277000, training accuracy 0.92
step 278000, training accuracy 0.96
step 279000, training accuracy 0.9
step 280000, training accuracy 0.94
Total accuracy: 0.908517401875
step 281000, training accuracy 0.98
step 282000, training accuracy 0.88
step 283000, training accuracy 0.9
step 284000, training accuracy 0.94
step 285000, training accuracy 0.96
step 286000, training accuracy 0.94
step 287000, training accuracy 0.98
step 288000, training accuracy 0.96
step 289000, training accuracy 0.92
step 290000, training accuracy 0.96
Total accuracy: 0.907950147288
step 291000, training accuracy 0.94
step 292000, training accuracy 0.96
step 293000, training accuracy 0.94
step 294000, training accuracy 0.96
step 295000, training accuracy 0.94
step 296000, training accuracy 0.98
step 297000, training accuracy 0.96
step 298000, training accuracy 0.92
step 299000, training accuracy 0.92
step 300000, training accuracy 0.94
Total accuracy: 0.907924363835
step 301000, training accuracy 0.96
step 302000, training accuracy 0.88
step 303000, training accuracy 0.9
step 304000, training accuracy 0.92
step 305000, training accuracy 1
step 306000, training accuracy 0.94
step 307000, training accuracy 1
step 308000, training accuracy 0.9
step 309000, training accuracy 0.94
step 310000, training accuracy 0.9
Total accuracy: 0.908577565938
step 311000, training accuracy 0.96
step 312000, training accuracy 0.94
step 313000, training accuracy 0.86
step 314000, training accuracy 0.9
step 315000, training accuracy 0.96
step 316000, training accuracy 0.9
step 317000, training accuracy 0.94
step 318000, training accuracy 0.98
step 319000, training accuracy 0.9
step 320000, training accuracy 0.98
Total accuracy: 0.907571978332
step 321000, training accuracy 0.96
step 322000, training accuracy 0.92
step 323000, training accuracy 0.96
step 324000, training accuracy 0.96
step 325000, training accuracy 0.84
step 326000, training accuracy 0.94
step 327000, training accuracy 0.96
step 328000, training accuracy 0.9
step 329000, training accuracy 0.96
step 330000, training accuracy 0.92
Total accuracy: 0.90721959288
step 331000, training accuracy 0.9
step 332000, training accuracy 0.94
step 333000, training accuracy 0.94
step 334000, training accuracy 0.92
step 335000, training accuracy 0.96
step 336000, training accuracy 1
step 337000, training accuracy 0.98
step 338000, training accuracy 0.92
step 339000, training accuracy 0.94
step 340000, training accuracy 0.9
Total accuracy: 0.9079673384
step 341000, training accuracy 0.96
step 342000, training accuracy 0.94
step 343000, training accuracy 0.9
step 344000, training accuracy 0.94
step 345000, training accuracy 0.96
step 346000, training accuracy 0.98
step 347000, training accuracy 0.88
step 348000, training accuracy 0.98
step 349000, training accuracy 0.92
Model saved in file: ./model/model_62/model_4/model.ckpt
